dataset_code,description,start_date,end_date,endpoint,notes
IMBALNGC,Day and Day‑Ahead Indicated Imbalance,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/IMBALNGC/data,Use ISO8601 startTime and endTime params. format=json
INDDEM,Day and Day‑Ahead Indicated Demand,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/INDDEM/data,Use ISO8601 startTime and endTime params. format=json
INDGEN,Day and Day‑Ahead Indicated Generation,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/INDGEN/data,Use ISO8601 startTime and endTime params. format=json
INDO,Initial Demand Outturn,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/INDO/data,Use ISO8601 startTime and endTime params. format=json
ITSDO,Initial Transmission System Demand Outturn,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/ITSDO/data,Use ISO8601 startTime and endTime params. format=json
MELNGC,Day and Day‑Ahead Indicated Margin,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MELNGC/data,Use ISO8601 startTime and endTime params. format=json
MID,Market Index Data,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MID/data,Use ISO8601 startTime and endTime params. format=json
MILS,Maximum Import Limit,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MILS/data,Use ISO8601 startTime and endTime params. format=json
MELS,Maximum Export Limit,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MELS/data,Use ISO8601 startTime and endTime params. format=json
MDP,Market Delivery Period,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MDP/data,Use ISO8601 startTime and endTime params. format=json
MDV,Market Data Volume,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MDV/data,Use ISO8601 startTime and endTime params. format=json
MNZT,Minimum Non‑Zero Time,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MNZT/data,Use ISO8601 startTime and endTime params. format=json
MZT,Minimum Zero Time,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/MZT/data,Use ISO8601 startTime and endTime params. format=json
NETBSAD,Net Balancing Services Adjustment Data,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NETBSAD/data,Use ISO8601 startTime and endTime params. format=json
NDF,National Day and Day‑Ahead National Demand Forecast,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NDF/data,Use ISO8601 startTime and endTime params. format=json
NDFD,Demand & Surplus Forecast Data (2‑14 days ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NDFD/data,Use ISO8601 startTime and endTime params. format=json
NDFW,Demand & Surplus Forecast Data (2‑52 weeks ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NDFW/data,Use ISO8601 startTime and endTime params. format=json
NONBM,Non‑BM STOR,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NONBM/data,Use ISO8601 startTime and endTime params. format=json
NOU2T14D,2 to 14 Days Ahead Generation (aggregated data),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NOU2T14D/data,Use ISO8601 startTime and endTime params. format=json
NOU2T3YW,2 to 156 Weeks Ahead Generation (aggregated data),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NOU2T3YW/data,Use ISO8601 startTime and endTime params. format=json
NTB,Notice to Deliver Bids,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NTB/data,Use ISO8601 startTime and endTime params. format=json
NTO,Notice to Deliver Offers,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NTO/data,Use ISO8601 startTime and endTime params. format=json
NDZ,Notice to Deviate from Zero,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/NDZ/data,Use ISO8601 startTime and endTime params. format=json
OCNMF3Y,Forecast Data (2‑14 days ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/OCNMF3Y/data,Use ISO8601 startTime and endTime params. format=json
OCNMF3Y2,Surplus Demand & Surplus Forecast Data (2‑14 days ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/OCNMF3Y2/data,Use ISO8601 startTime and endTime params. format=json
OCNMFD,Forecast Data (2‑156 weeks ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/OCNMFD/data,Use ISO8601 startTime and endTime params. format=json
OCNMFD2,Surplus Demand & Surplus Forecast Data (2‑156 weeks ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/OCNMFD2/data,Use ISO8601 startTime and endTime params. format=json
PN,Physical Notifications,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/PN/data,Use ISO8601 startTime and endTime params. format=json
QAS,Balancing Services Volume,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/QAS/data,Use ISO8601 startTime and endTime params. format=json
QPN,Quiescent Physical Notification,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/QPN/data,Use ISO8601 startTime and endTime params. format=json
RDRE,Run Down Rate Export,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/RDRE/data,Use ISO8601 startTime and endTime params. format=json
RDRI,Run Down Rate Import,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/RDRI/data,Use ISO8601 startTime and endTime params. format=json
RURE,Run Up Rate Export,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/RURE/data,Use ISO8601 startTime and endTime params. format=json
RURI,Run up Rate Import,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/RURI/data,Use ISO8601 startTime and endTime params. format=json
SEL,Stable Export Limit,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/SEL/data,Use ISO8601 startTime and endTime params. format=json
SIL,Stable Import Limit,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/SIL/data,Use ISO8601 startTime and endTime params. format=json
TEMP,Temperature Data,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/TEMP/data,Use ISO8601 startTime and endTime params. format=json
TSDF,Day and Day‑Ahead Transmission System Demand & Surplus Forecast (2‑14 days ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/TSDF/data,Use ISO8601 startTime and endTime params. format=json
TSDFD,Transmission System Demand & Surplus Forecast (2‑52 Weeks ahead),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/TSDFD/data,Use ISO8601 startTime and endTime params. format=json
TSDFW,Transmission System 2‑14 Days Ahead Generation (aggregated by BM Units),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/TSDFW/data,Use ISO8601 startTime and endTime params. format=json
UOU2T14D,2 to 14 Days Ahead Generation (aggregated by Balancing Mechanism Units),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/UOU2T14D/data,Use ISO8601 startTime and endTime params. format=json
UOU2T3YW,2 to 156 Weeks Ahead Generation (aggregated by BM Units),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/UOU2T3YW/data,Use ISO8601 startTime and endTime params. format=json
WINDFOR,Wind Generation Forecast,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/WINDFOR/data,Use ISO8601 startTime and endTime params. format=json
