nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,is_vlp_by_name,is_aggregator_code,multiple_assets,is_vlp
ILG-RISQ1,I_ILG-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,ELECLINK,False,False,True,True
IND-GRMC1,I_IND-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0084878,0.000,0.000,0.000,0.000,False,False,,,NEMOLINK,False,False,True,True
ING-RISQ1,I_ING-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,NEMOLINK,False,False,True,True
IVD-GRMC1,I_IVD-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,False,False,,,VIKINGLINK,False,False,True,True
KPMRW-1,T_KPMRW-1,,WIND,OnPath Energy Limited,T,True,KYPE MUIR WIND FARM,BANKSREN,-2.000,89.000,P,-0.0088069,-0.800,-0.800,35.600,35.600,True,False,,,,False,False,True,True
LAGA-1,T_LAGA-1,48W000000LAGA-14,CCGT,EP UK INVESTMENTS LIMITED,T,True,Langage Power Station,EPUKI,-30.000,905.000,P,0.0214735,-12.000,-12.000,362.000,362.000,True,False,,,,False,False,True,True
LNCSO-1,T_LNCSW-1,48W00000LNCSO-1R,WIND,Lincs Wind Farm Ltd,T,True,Lincs wind farm offshore BMU1,LINCSWFL,-4.000,150.000,P,0.0042196,-1.600,-1.600,60.000,60.000,True,False,,,,False,False,True,True
LNCSO-2,T_LNCSW-2,48W00000LNCSO-2P,WIND,Lincs Wind Farm Ltd,T,True,Lincs wind farm offshore BMU2,LINCSWFL,-4.000,150.000,P,0.0042196,-1.600,-1.600,60.000,60.000,True,False,,,,False,False,True,True
MIDMW-1,T_MIDMW-1,48W00000MIDMW-19,WIND,OnPath Energy Limited,T,True,MIDDLE MUIR WIND FARM,BANKSREN,-1.000,51.000,P,-0.0088069,-0.400,-0.400,20.400,20.400,True,False,,,,False,False,True,True
NOKYW-1,T_NOKYW-1,,WIND,North Kyle Wind farm Ltd,T,True,North Kyle Wind Farm-1,NKWFL,-2.000,106.000,P,-0.0088069,-0.800,-0.800,42.400,42.400,True,False,,,,False,False,True,True
NOKYW-2,T_NOKYW-2,,WIND,North Kyle Wind farm Ltd,T,True,North Kyle Wind Farm-2,NKWFL,-2.000,106.000,P,-0.0088069,-0.800,-0.800,42.400,42.400,True,False,,,,False,False,True,True
PIBUW-1,E_PIBUW-1,,WIND,Npower Commercial Gas Limited,E,True,Pines Burn Wind Farm,NPOWER02,0.000,35.674,P,-0.0088069,0.000,0.000,14.270,14.270,True,False,_N,South Scotland,,False,False,True,True
RAKE-1,E_RAKE-1,,,Conrad Energy (Trading) Ltd,E,True,Rake Lane,CONRAD,-1.000,20.000,C,-0.0048159,-0.400,-0.400,8.000,8.000,True,False,_G,North Western,,False,False,True,True
RICHB-1,T_RICHB-1,,OTHER,Limejump Energy Limited,T,True,Richborough Energy Park 1,ANGEL,-49.900,49.900,C,0.0120522,-19.960,-19.960,19.960,19.960,True,False,,,,True,False,True,True
RICHB-2,T_RICHB-2,,OTHER,Limejump Energy Limited,T,True,Richborough Energy Park 2,ANGEL,-49.900,49.900,C,0.0120522,-19.960,-19.960,19.960,19.960,True,False,,,,True,False,True,True
SHBA-2,T_SHBA-2,48W000000SHBA-2A,CCGT,EP UK INVESTMENTS LIMITED,T,True,SOUTH HUMBER BANK P/S PHASE 2,EPUKI,-10.000,580.000,P,-0.0051169,-4.000,-4.000,232.000,232.000,True,False,,,,False,False,True,True
SOLUU-1,E_SOLUTIA,,,UK Power Reserve Limited,E,True,Solutia Power Station,UKPR,0.000,15.800,C,0.0162007,0.000,0.000,6.320,6.320,True,False,_K,South Wales,,False,False,True,True
SUTBS-1,T_SUTBS-1,48W00000SUTBS-10,OTHER,EDF Energy Customers Limited,T,True,Sutton Bridge Solar Farm,LENCO,0.000,52.000,C,0.0042196,0.000,0.000,20.800,20.800,True,False,,,,False,False,True,True
WDNSO-1,T_WDNSO-1,48W00000WDNSO-1H,WIND,Morecambe Wind Limited,T,True,West of Duddon Sands Offshore1,MWLWODS1,-5.000,197.000,P,-0.0048159,-2.000,-2.000,78.800,78.800,True,False,,,,False,False,True,True
WDNSO-2,T_WDNSO-2,48W00000WDNSO-2F,WIND,Morecambe Wind Limited,T,True,West of Duddon Sands Offshore2,MWLWODS1,-5.000,201.000,P,-0.0048159,-2.000,-2.000,80.400,80.400,True,False,,,,False,False,True,True
