DNO_Name,DNO_Code,Tariff_Name,LLFCs,PCs,Red_Rate_p_kWh,Amber_Rate_p_kWh,Green_Rate_p_kWh,Fixed_Charge_p_day,Capacity_Charge_p_kVA_day,Document,Document_Reference,Source_Sheet
East Midlands,EMID,LV Site Specific Band 2,L02,0,4.69,1.065,0.084,683.95,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 3,L03,0,4.69,1.065,0.084,1085.72,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 4,L04,0,4.69,1.065,0.084,2321.08,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific No Residual,"S00, SST",0,3.249,0.693,0.053,12.08,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 1,59,0,3.249,0.693,0.053,410.91,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 2,S02,0,3.249,0.693,0.053,680.68,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 3,S03,0,3.249,0.693,0.053,1082.45,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 4,S04,0,3.249,0.693,0.053,2317.81,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific No Residual,"H00, HST",0,1.942,0.368,0.027,107.73,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 1,"60, 991",0,1.942,0.368,0.027,2090.47,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 2,H02,0,1.942,0.368,0.027,6249.9,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 3,H03,0,1.942,0.368,0.027,14220.41,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 4,H04,0,1.942,0.368,0.027,37438.55,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",16.236,4.325,2.697,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Aggregated,986,0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Aggregated,970,0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific,"971, 973",0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific no RP charge,"141, 142",0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific,"972, 974",0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific no RP charge,"143, 144",0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific,"975, 977",0,-2.517,-0.529,-0.04,67.13,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific no RP charge,"145, 146",0,-2.517,-0.529,-0.04,67.13,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated or CT with Residual,"1, 3, 246, D01","0, 1, 2",10.271,1.943,0.142,8.6,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated (Related MPAN),11,2,10.271,1.943,0.142,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT No Residual,"N10, N20, N30, X10, X20, X30","0, 3, 4, 5-8",10.516,1.989,0.146,11.63,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 1,"13, 37, 81, 80, 247, 90, X11, X21, X31","0, 3, 4, 5-8",10.516,1.989,0.146,14.21,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 2,"N12, N22, N32, X12, X22, X32","0, 3, 4, 5-8",10.516,1.989,0.146,15.91,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 3,"N13, N23, N33, X13, X23, X33","0, 3, 4, 5-8",10.516,1.989,0.146,20.79,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 4,"N14, N24, N34, X14, X24, X34","0, 3, 4, 5-8",10.516,1.989,0.146,36.93,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated (related MPAN),901,4,10.516,1.989,0.146,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific No Residual,"L00, LST",0,6.621,1.214,0.087,14.21,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 1,"58, 990",0,6.621,1.214,0.087,61.19,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 2,L02,0,6.621,1.214,0.087,92.33,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 3,L03,0,6.621,1.214,0.087,137.64,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 4,L04,0,6.621,1.214,0.087,270.96,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific No Residual,"S00, SST",0,4.224,0.718,0.048,11.08,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 1,59,0,4.224,0.718,0.048,58.06,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 2,S02,0,4.224,0.718,0.048,89.21,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 3,S03,0,4.224,0.718,0.048,134.51,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 4,S04,0,4.224,0.718,0.048,267.83,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific No Residual,"H00, HST",0,2.431,0.37,0.022,102.53,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 1,"60, 991",0,2.431,0.37,0.022,340.7,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 2,H02,0,2.431,0.37,0.022,793.33,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 3,H03,0,2.431,0.37,0.022,1624.55,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 4,H04,0,2.431,0.37,0.022,4161.88,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",25.526,3.538,1.349,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Aggregated,986,0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Aggregated,970,0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific,"971, 973",0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific no RP charge,"141, 142",0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific,"972, 974",0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific no RP charge,"143, 144",0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific,"975, 977",0,-3.414,-0.58,-0.039,64.19,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific no RP charge,"145, 146",0,-3.414,-0.58,-0.039,64.19,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated or CT with Residual,"1, 3, 246, D01","0, 1, 2",11.88,1.538,0.092,8.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated (Related MPAN),11,2,11.88,1.538,0.092,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT No Residual,"N10, N20, N30, X10, X20, X30","0, 3, 4, 5-8",12.031,1.557,0.093,11.53,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 1,"13, 37, 81, 80, 247, 90, X11, X21, X31","0, 3, 4, 5-8",12.031,1.557,0.093,12.6,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 2,"N12, N22, N32, X12, X22, X32","0, 3, 4, 5-8",12.031,1.557,0.093,15.58,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 3,"N13, N23, N33, X13, X23, X33","0, 3, 4, 5-8",12.031,1.557,0.093,20.43,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated or CT Band 4,"N14, N24, N34, X14, X24, X34","0, 3, 4, 5-8",12.031,1.557,0.093,35.01,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated (related MPAN),901,4,12.031,1.557,0.093,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific No Residual,"L00, LST",0,7.777,0.958,0.054,13.64,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 1,"58, 990",0,7.777,0.958,0.054,55.73,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 2,L02,0,7.777,0.958,0.054,85.08,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 3,L03,0,7.777,0.958,0.054,129.0,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 4,L04,0,7.777,0.958,0.054,239.73,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific No Residual,"S00, SST",0,5.147,0.56,0.027,10.65,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 1,59,0,5.147,0.56,0.027,52.73,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 2,S02,0,5.147,0.56,0.027,82.09,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 3,S03,0,5.147,0.56,0.027,126.01,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 4,S04,0,5.147,0.56,0.027,236.74,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific No Residual,"H00, HST",0,2.837,0.257,0.009,98.28,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 1,"60, 991",0,2.837,0.257,0.009,360.65,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 2,H02,0,2.837,0.257,0.009,866.35,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 3,H03,0,2.837,0.257,0.009,1543.02,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Site Specific Band 4,H04,0,2.837,0.257,0.009,3736.24,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",32.874,3.018,1.229,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Aggregated,986,0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Aggregated,970,0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific,"971, 973",0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Generation Site Specific no RP charge,"141, 142",0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific,"972, 974",0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Generation Site Specific no RP charge,"143, 144",0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific,"975, 977",0,-3.958,-0.431,-0.021,61.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,HV Generation Site Specific no RP charge,"145, 146",0,-3.958,-0.431,-0.021,61.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated with Residual,"1, 3, 246","1, 2 or 0",6.803,1.209,0.089,13.33,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated (Related MPAN),11,2,6.803,1.209,0.089,,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated No Residual,"N10, N20, N30",3 to 8 or 0,5.95,1.057,0.078,7.38,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 1,"13, 37, 81, 80, 247, 90",3 to 8 or 0,5.95,1.057,0.078,11.46,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 2,"N12, N22, N32",3 to 8 or 0,5.95,1.057,0.078,28.94,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 3,"N13, N23, N33",3 to 8 or 0,5.95,1.057,0.078,61.13,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 4,"N14, N24, N34",3 to 8 or 0,5.95,1.057,0.078,174.91,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated (related MPAN),901,4,5.95,1.057,0.078,,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific No Residual,"L00, LST",0,4.301,0.737,0.054,11.44,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 1,"58, 990",0,4.301,0.737,0.054,297.07,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 2,L02,0,4.301,0.737,0.054,501.77,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 3,L03,0,4.301,0.737,0.054,781.95,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 4,L04,0,4.301,0.737,0.054,1435.83,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific No Residual,"S00, SST",0,2.964,0.466,0.033,8.94,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 1,59,0,2.964,0.466,0.033,294.57,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 2,S02,0,2.964,0.466,0.033,499.26,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Sub Site Specific Band 3,S03,0,2.964,0.466,0.033,779.45,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1,"Annex 1 LV, HV and UMS charges"
