Year,DNO_Code,DNO_Name,Tariff_Name,LLFCs,PCs,Red_Rate_p_kWh,Amber_Rate_p_kWh,Green_Rate_p_kWh,Fixed_Charge_p_day,Capacity_Charge_p_kVA_day,Document,Document_Reference
2025,EMID,East Midlands,HV Site Specific Band 2,H02,0,2.431,0.37,0.022,793.33,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Site Specific Band 3,H03,0,2.431,0.37,0.022,1624.55,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Site Specific Band 4,H04,0,2.431,0.37,0.022,4161.88,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",25.526,3.538,1.349,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Generation Aggregated,986,0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Generation Aggregated,970,0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Generation Site Specific,"971, 973",0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-6.744,-1.276,-0.094,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Generation Site Specific,"972, 974",0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-5.591,-1.037,-0.075,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Generation Site Specific,"975, 977",0,-3.414,-0.58,-0.039,64.19,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-3.414,-0.58,-0.039,64.19,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2026,EMID,East Midlands,Domestic Aggregated or CT with Residual,"1, 3, 246, D01","0, 1, 2",11.88,1.538,0.092,8.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Domestic Aggregated (Related MPAN),11,2,11.88,1.538,0.092,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated or CT No Residual,"N10, N20, N30, X10, X20, X30","0, 3, 4, 5-8",12.031,1.557,0.093,11.53,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated or CT Band 1,"13, 37, 81, 80, 247, 90, X11, X21, X31","0, 3, 4, 5-8",12.031,1.557,0.093,12.6,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated or CT Band 2,"N12, N22, N32, X12, X22, X32","0, 3, 4, 5-8",12.031,1.557,0.093,15.58,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated or CT Band 3,"N13, N23, N33, X13, X23, X33","0, 3, 4, 5-8",12.031,1.557,0.093,20.43,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated or CT Band 4,"N14, N24, N34, X14, X24, X34","0, 3, 4, 5-8",12.031,1.557,0.093,35.01,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Non-Domestic Aggregated (related MPAN),901,4,12.031,1.557,0.093,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Site Specific No Residual,"L00, LST",0,7.777,0.958,0.054,13.64,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Site Specific Band 1,"58, 990",0,7.777,0.958,0.054,55.73,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Site Specific Band 2,L02,0,7.777,0.958,0.054,85.08,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Site Specific Band 3,L03,0,7.777,0.958,0.054,129.0,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Site Specific Band 4,L04,0,7.777,0.958,0.054,239.73,7.68,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Site Specific No Residual,"S00, SST",0,5.147,0.56,0.027,10.65,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Site Specific Band 1,59,0,5.147,0.56,0.027,52.73,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Site Specific Band 2,S02,0,5.147,0.56,0.027,82.09,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Site Specific Band 3,S03,0,5.147,0.56,0.027,126.01,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Site Specific Band 4,S04,0,5.147,0.56,0.027,236.74,7.4,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Site Specific No Residual,"H00, HST",0,2.837,0.257,0.009,98.28,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Site Specific Band 1,"60, 991",0,2.837,0.257,0.009,360.65,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Site Specific Band 2,H02,0,2.837,0.257,0.009,866.35,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Site Specific Band 3,H03,0,2.837,0.257,0.009,1543.02,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Site Specific Band 4,H04,0,2.837,0.257,0.009,3736.24,8.57,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",32.874,3.018,1.229,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Generation Aggregated,986,0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Generation Aggregated,970,0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Generation Site Specific,"971, 973",0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-7.711,-0.998,-0.06,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Generation Site Specific,"972, 974",0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-6.422,-0.805,-0.047,0.0,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Generation Site Specific,"975, 977",0,-3.958,-0.431,-0.021,61.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,EMID,East Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-3.958,-0.431,-0.021,61.51,0.0,EMEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2022,EMID,East Midlands,Domestic Aggregated with Residual,"1, 3, 246","1, 2 or 0",6.803,1.209,0.089,13.33,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Domestic Aggregated (Related MPAN),11,2,6.803,1.209,0.089,,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated No Residual,"N10, N20, N30",3 to 8 or 0,5.95,1.057,0.078,7.38,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated Band 1,"13, 37, 81, 80, 247, 90",3 to 8 or 0,5.95,1.057,0.078,11.46,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated Band 2,"N12, N22, N32",3 to 8 or 0,5.95,1.057,0.078,28.94,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated Band 3,"N13, N23, N33",3 to 8 or 0,5.95,1.057,0.078,61.13,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated Band 4,"N14, N24, N34",3 to 8 or 0,5.95,1.057,0.078,174.91,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Non-Domestic Aggregated (related MPAN),901,4,5.95,1.057,0.078,,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Site Specific No Residual,"L00, LST",0,4.301,0.737,0.054,11.44,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Site Specific Band 1,"58, 990",0,4.301,0.737,0.054,297.07,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Site Specific Band 2,L02,0,4.301,0.737,0.054,501.77,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Site Specific Band 3,L03,0,4.301,0.737,0.054,781.95,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Site Specific Band 4,L04,0,4.301,0.737,0.054,1435.83,2.91,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Site Specific No Residual,"S00, SST",0,2.964,0.466,0.033,8.94,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Site Specific Band 1,59,0,2.964,0.466,0.033,294.57,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Site Specific Band 2,S02,0,2.964,0.466,0.033,499.26,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Site Specific Band 3,S03,0,2.964,0.466,0.033,779.45,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Site Specific Band 4,S04,0,2.964,0.466,0.033,1433.33,3.56,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Site Specific No Residual,"H00, HST",0,1.778,0.239,0.016,82.21,4.32,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Site Specific Band 1,"60, 991",0,1.778,0.239,0.016,1284.3,4.32,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Site Specific Band 2,H02,0,1.778,0.239,0.016,4303.99,4.32,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Site Specific Band 3,H03,0,1.778,0.239,0.016,9425.09,4.32,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Site Specific Band 4,H04,0,1.778,0.239,0.016,24408.96,4.32,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",20.608,2.988,1.918,,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Generation Aggregated,986,0,-4.155,-0.738,-0.054,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Generation Aggregated,970,0,-3.652,-0.635,-0.046,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Generation Site Specific,"971, 973",0,-4.155,-0.738,-0.054,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-4.155,-0.738,-0.054,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Generation Site Specific,"972, 974",0,-3.652,-0.635,-0.046,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-3.652,-0.635,-0.046,0.0,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Generation Site Specific,"975, 977",0,-2.389,-0.367,-0.026,51.42,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,EMID,East Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-2.389,-0.367,-0.026,51.42,,EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2023,EMID,East Midlands,Domestic Aggregated with Residual,"1, 3, 246","0, 1, 2",6.602,1.493,0.124,11.38,0.0,EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,EMID,East Midlands,Domestic Aggregated (Related MPAN),11,2,6.602,1.493,0.124,0.0,0.0,EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,EMID,East Midlands,Non-Domestic Aggregated No Residual,"N10, N20, N30","0, 3, 4, 5-8",6.036,1.365,0.114,8.74,0.0,EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,EMID,East Midlands,Non-Domestic Aggregated Band 1,"13, 37, 81, 80, 247, 90","0, 3, 4, 5-8",6.036,1.365,0.114,11.82,0.0,EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,EMID,East Midlands,Non-Domestic Aggregated Band 2,"N12, N22, N32","0, 3, 4, 5-8",6.036,1.365,0.114,23.34,0.0,EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
