nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,is_vlp_by_name,is_aggregator_code,multiple_assets,is_vlp
CLAYB-2,E_CLAYB-2,,,Tesla Motors Limited,E,True,ClayTye Farm 2 Battery Storage,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
CONTB-1,E_CONTB-1,,,Tesla Motors Limited,E,True,Contego Battery,TESLA,-34.445,35.800,P,0.0120522,-13.778,-13.778,14.320,14.320,True,False,_J,South Eastern,,False,False,True,True
CUPAB-1,E_CUPAB-1,,OTHER,Octopus Energy Trading Limited,E,True,Coupar Battery Storage,COPPER,-41.543,41.314,C,-0.0301340,-16.617,-16.617,16.526,16.526,True,False,_P,North Scotland,,True,False,True,True
DOLLB-1,E_DOLLB-1,,OTHER,Dollymans Storage Limited,E,True,Dollymans Storage,DLMS,-99.900,102.000,P,0.0042196,-39.960,-39.960,40.800,40.800,True,False,_A,Eastern,,False,False,False,False
ENDRB-1,T_ENDRB-1,48W00000ENDRB-1N,OTHER,Flexitricity Limited,T,True,Enderby BESS,FLEXTRCY,-57.000,57.000,P,0.0073472,-22.800,-22.800,22.800,22.800,True,False,,,,True,False,True,True
FARNB-1,E_FARNB-1,,,Tesla Motors Limited,E,True,Farnham BESS,TESLA,-20.000,20.000,P,0.0199799,-8.000,-8.000,8.000,8.000,True,False,_H,Southern,,False,False,True,True
FBPG01,2__FBPGM001,,,BP Gas Marketing Limited,S,True,Wormald Green BESS,BPGAS,-33.600,33.600,C,-0.0072556,-0.393,-0.252,0.393,0.252,False,False,_F,Northern,,False,False,True,True
FBPG02,2__FBPGM002,,,BP Gas Marketing Limited,S,True,Hawthorn Pit BESS,BPGAS,-54.800,50.300,C,-0.0072556,-2.702,-2.598,2.480,2.384,False,False,_F,Northern,,False,False,True,True
FERRB-1,T_FERRB-1,48W00000FERRB-1V,OTHER,SSE Ferrybridge Battery Ltd,T,True,Ferrybridge BESS BMU-1,FERBESS,-74.000,76.000,P,-0.0051169,-29.600,-29.600,30.400,30.400,True,False,,,,False,False,True,True
FERRB-2,T_FERRB-2,,OTHER,SSE Ferrybridge Battery Ltd,T,True,Ferrybridge BESS BMU-2,FERBESS,-74.000,76.000,P,-0.0051169,-29.600,-29.600,30.400,30.400,True,False,,,,False,False,True,True
GRCRB-1,E_GRCRB-1,,,FIELD GERRARDS CROSS LTD,E,True,Gerrards Cross BESS,FIELDGER,-20.000,20.000,P,0.0199799,-8.000,-8.000,8.000,8.000,True,False,_H,Southern,,False,False,False,False
HAWKB-1,E_HAWKB-1,,,Tesla Motors Limited,E,True,HawkersHill  Battery,TESLA,-20.000,20.000,P,0.0199799,-8.000,-8.000,8.000,8.000,True,False,_H,Southern,,False,False,True,True
ILMEB-1,E_ILMEB-1,,,Tesla Motors Limited,E,True,Ilmer Lane BESS,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
JAMBB-1,E_JAMBB-1,,OTHER,Tesla Motors Limited,E,True,Jamesfield 1 Battery Storage,TESLA,-30.000,30.000,P,-0.0301340,-12.000,-12.000,12.000,12.000,True,False,_P,North Scotland,,False,False,True,True
JAMBB-2,E_JAMBB-2,,OTHER,Tesla Motors Limited,E,True,Jamesfield 2 Battery Storage,TESLA,-19.314,19.000,P,-0.0301340,-7.726,-7.726,7.600,7.600,True,False,_P,North Scotland,,False,False,True,True
KTHRS-1,T_KTHRS-1,,,Statkraft Markets Gmbh,T,True,Keith Storage 1,STATKRA1,-2.500,0.000,C,-0.0301340,-1.529,-1.529,0.000,0.000,False,False,,,,False,False,True,True
KTHRS-2,T_KTHRS-2,,,Statkraft Markets Gmbh,T,True,Keith Storage 2,STATKRA1,-2.500,0.000,C,-0.0301340,-1.494,-1.494,0.000,0.000,False,False,,,,False,False,True,True
LARKB-1,T_LARKB-1,48W00000LARKB-19,OTHER,EDF Energy Customers Limited,T,True,Larks Green Battery Storage,LENCO,-52.000,52.000,C,0.0214735,-4.867,-4.867,4.867,4.867,False,False,,,,False,False,True,True
LITRB-1,E_LITRB-1,,OTHER,Tesla Motors Limited,E,True,Little Raith BESS,TESLA,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,False,False,True,True
LKSDB-1,T_LKSDB-1,48W00000LKSDB-15,OTHER,Lakeside Energy Storage Ltd,T,True,Lakeside  BESS,LAKESIDE,-99.900,105.000,P,-0.0051169,-39.960,-39.960,42.000,42.000,True,False,,,,False,False,False,False
LRDSC-1,T_LRDSC-1,,OTHER,Statkraft Markets Gmbh,T,True,Lister Storage 1,STATKRA1,-16.382,1.003,C,0.0013166,-11.623,-11.623,0.712,0.712,False,False,,,,False,False,True,True
LRDSC-2,T_LRDSC-2,,OTHER,Statkraft Markets Gmbh,T,True,Lister Storage 2,STATKRA1,-2.500,0.792,C,0.0013166,-1.455,-1.455,0.461,0.461,False,False,,,,False,False,True,True
NEWPB-1,E_NEWPB-1,,,Field Newport Ltd,E,True,Newport BESS,FIELDNEW,-20.000,20.457,P,0.0162007,-8.000,-8.000,8.183,8.183,True,False,_K,South Wales,,False,False,False,False
NEWTB-1,E_NEWTB-1,,,Arenko Cleantech Limited,E,False,Newton wood BESS,AG,-50.000,50.000,C,0.0073472,-9.120,-9.120,9.120,9.120,False,False,_B,East Midlands,,False,False,True,True
NLSTB-1,T_NLSTB-1,,OTHER,Statkraft Markets Gmbh,T,True,Neilston Battery 1,STATKRA1,-50.000,50.000,C,-0.0088069,-4.680,-4.680,4.680,4.680,False,False,,,,False,False,True,True
NTAWB-1,E_NTAWB-1,,,SMS Energy Services Limited,E,False,North Tawton BESS,SMS1ENES,-30.000,30.000,C,0.0247256,-2.808,-2.808,2.808,2.808,False,False,_L,South Western,,False,False,True,True
NURSB-1,T_NURSB-1,,,EDF Energy Customers Limited,T,True,Nursling Battery Storage,LENCO,-48.798,44.000,C,0.0199799,-19.519,-19.519,17.600,17.600,True,False,,,,False,False,True,True
OLDHB-1,E_OLDHB-1,,,Field Oldham Ltd,E,True,Oldham BESS,FIELD,-20.000,20.000,P,-0.0048159,-8.000,-8.000,8.000,8.000,True,False,_G,North Western,,False,False,False,False
PILLB-1,E_PILLB-1,,,BP Gas Marketing Limited,E,True,Pillswood 1 Battery Storage,BPGAS,-49.900,49.900,P,-0.0051169,-19.960,-19.960,19.960,19.960,True,False,_M,Yorkshire,,False,False,True,True
PILLB-2,E_PILLB-2,,,BP Gas Marketing Limited,E,True,Pillswood 2 Battery Storage,BPGAS,-49.900,49.900,P,-0.0051169,-19.960,-19.960,19.960,19.960,True,False,_M,Yorkshire,,False,False,True,True
PNYCB-1,T_PNYCB-1,,,Arenko Cleantech Limited,T,True,Pen y Cymoedd Battery,AG,-22.000,22.000,P,0.0162007,-8.800,-8.800,8.800,8.800,True,False,,,,False,False,True,True
POTES-1,E_POTES-1,,,Arenko Cleantech Limited,E,True,Port of Tyne Energy Storage,AG,-35.000,35.000,C,-0.0072556,-14.000,-14.000,14.000,14.000,True,False,_F,Northern,,False,False,True,True
ROARB-1,E_ROARB-1,,OTHER,Tesla Motors Limited,E,True,Roaring Hill BESS,TESLA,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,False,False,True,True
ROOSB-1,E_ROOSB-1,,,CBS ENERGY STORAGE ASSETS LTD,E,True,Roosecote BESS,REGPOWER,-49.000,49.000,C,-0.0048159,-19.600,-19.600,19.600,19.600,True,False,_G,North Western,,False,False,False,False
SHILB-1,E_SHILB-1,,OTHER,Octopus Energy Trading Limited,E,True,Shilton Lane BESS,COPPER,-40.000,40.000,C,-0.0088069,-16.000,-16.000,16.000,16.000,True,False,_N,South Scotland,,True,False,True,True
SKELB-1,E_SKELB-1,,,Tesla Motors Limited,E,True,Skelmersdale Battery,TESLA,-50.642,49.900,P,-0.0048159,-20.257,-20.257,19.960,19.960,True,False,_G,North Western,,False,False,True,True
STALB-1,E_STALB-1,,,KXP Immingham Ltd,E,True,KXP Immingham BESS,KXPIMM,-726.102,80.844,C,-0.0051169,-67.963,-67.963,7.567,7.567,False,False,_M,Yorkshire,,False,False,False,False
SUNDB-1,T_SUNDB-1,,,Pivoted Power LLP,T,True,SUNDON BESS,PIVOT,-57.000,49.900,C,0.0042196,-22.800,-22.800,19.960,19.960,True,False,,,,False,False,True,True
TEBWB-1,T_TEBWB-1,,,Arenko Cleantech Limited,T,True,Tebworth BESS Power Park,AG,-39.900,39.900,C,0.0042196,-3.735,-3.735,3.735,3.735,False,False,,,,False,False,True,True
THMRB-1,E_THMRB-1,,,Tesla Motors Limited,E,True,Thame Road  BESS,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
TOLLB-1,E_TOLLB-1,,,Tollgate Energy Storage Ltd,E,True,Tollgate Energy Storage,TOLL,-50.481,49.000,P,0.0042196,-20.192,-20.192,19.600,19.600,True,False,_A,Eastern,,False,False,False,False
TYLNB-1,T_TYLNB-1,48W00000TYLNB-1K,,Pivoted Power LLP,T,True,Tye Lane BESS,PIVOT,-57.000,58.000,P,0.0042196,-22.800,-22.800,23.200,23.200,True,False,,,,False,False,True,True
WBURB-41,T_WBURB-41,48W0000WBURB-41Z,OTHER,West Burton B Limited,T,True,West Burton B Battery,WESTBURB,-30.000,31.000,P,0.0073472,-12.000,-12.000,12.400,12.400,True,False,,,,False,False,True,True
WBURB-43,T_WBURB-43,48W0000WBURB-43V,OTHER,West Burton B Limited,T,True,West Burton B Battery,WESTBURB,-30.338,31.000,P,0.0073472,-12.135,-12.135,12.400,12.400,True,False,,,,False,False,True,True
WHLWB-1,T_WHLWB-1,,,SP Renewables (UK) Limited,T,True,Whitelee 1 Battery,SPCRE01,-50.200,50.200,C,-0.0088069,-0.502,-0.502,0.502,0.502,False,False,,,,False,False,False,False
WHTBB-1,E_WHTBB-1,,,Field Whitebirk Ltd,E,True,Whitebirk BESS,FIELDWHI,-25.000,25.000,P,-0.0048159,-10.000,-10.000,10.000,10.000,True,False,_G,North Western,,False,False,False,False
WISHB-1,T_WISHB-1,,OTHER,Zenobe Wishaw Limited,T,True,Wishaw BESS,ZENOBE3,-51.000,51.000,C,-0.0088069,-0.678,-0.678,0.678,0.678,False,False,,,,False,False,False,False
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,True,Aberdare Power Station,UKPR,0.000,15.400,C,0.0162007,0.000,0.000,6.160,6.160,True,False,_K,South Wales,,False,False,True,True
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,True,Auchrobert Wind Farm,NPOWER02,-10.000,36.000,C,-0.0088069,-4.000,-4.000,14.400,14.400,True,False,_N,South Scotland,,False,False,True,True
ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,True,AChruach Wind Farm,AIRGEN2,-2.000,42.600,P,-0.0301340,-0.800,-0.800,17.040,17.040,True,False,,,,False,False,False,False
AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,True,Afton Wind Farm,AFTON,-2.000,50.000,P,-0.0088069,-0.800,-0.800,20.000,20.000,True,False,,,,False,False,False,False
AG-GZP06B,V__BGAZP001,,,SEFE Marketing & Trading LTD,V,True,Staveley Energy Park,GAZPROM,0.000,0.000,C,0.0054492,0.000,0.000,0.000,0.000,False,False,_B,East Midlands,,False,False,False,False
AG-WSP04G,V__GWELS001,,,Welsh Power Group Limited,V,True,Welsh Power North West 1,WELSHPOW,0.000,0.000,P,-0.0031618,0.000,0.000,0.000,0.000,True,False,_G,North Western,,False,False,False,False
ASHWW-1,E_ASHWW-1,48W00000ASHWW-1Z,WIND,Statkraft Markets Gmbh,E,True,Andershaw Wind Farm,STATKRA1,-1.000,35.000,P,-0.0088069,-0.400,-0.400,14.000,14.000,True,False,_N,South Scotland,,False,False,True,True
ASLVW-1,E_ASLVW-1,,WIND,Npower Commercial Gas Limited,E,True,Assel Valley Wind Farm,NPOWER02,-6.000,26.000,C,-0.0088069,-2.400,-2.400,10.400,10.400,True,False,_N,South Scotland,,False,False,True,True
BABAW-1,E_BABAW-1,48W00000BABAW-13,WIND,Statkraft Markets Gmbh,E,True,Baillie Wind Farm,STATKRA1,-1.000,52.500,P,-0.0301340,-0.400,-0.400,21.000,21.000,True,False,_P,North Scotland,,False,False,True,True
BAGED-1,T_BAGED-1,,,Baglan Operations Ltd,T,False,Baglan Energy Park,BAGLAN,-10.000,0.000,P,0.0124353,-8.426,-8.426,0.000,0.000,False,True,,,,False,False,False,False
BDCHW-1,T_BDCHW-1,,WIND,RWE Generation UK plc,T,True,Bad a Cheo Wind Farm,INNOGY01,-1.000,27.000,P,-0.0301340,-0.400,-0.400,10.800,10.800,True,False,,,,False,False,True,True
BEINW-1,T_BEINW-1,48W00000BEINW-1G,WIND,Beinneun Wind Farm Ltd,T,True,Beinneun Wind farm,BWF2016,-0.800,108.800,P,-0.0301340,-0.320,-0.320,43.520,43.520,True,False,,,,False,False,False,False
BRIDU-1,E_BRIDGWTR,,,UK Power Reserve Limited,E,True,Bridgwater Power Station,UKPR,0.000,10.180,C,0.0214735,0.000,0.000,4.072,4.072,True,False,_L,South Western,,False,False,True,True
BRYBW-1,E_BRYBW-1,48W00000BRYBW-10,WIND,Statkraft Markets Gmbh,E,True,Berry Burn Wind Farm,STATKRA1,0.000,62.708,P,-0.0301340,0.000,0.000,25.083,25.083,True,False,_P,North Scotland,,False,False,True,True
BURGH-1,E_BURGH-1,,,SSEPG (Operations) Ltd,E,True,Burghfield Power Station,SSEPGO,-1.000,48.000,P,0.0199799,-0.400,-0.400,19.200,19.200,True,False,_H,Southern,,False,False,True,True
BURWS-1,T_BURWS-1,48W00000BURWS-16,OTHER,EDF Energy Customers Limited,T,True,Beechgreen Energy Farm,LENCO,-2.000,52.000,C,0.0042196,-0.800,-0.800,20.800,20.800,True,False,,,,False,False,True,True
CARR-1,T_CARR-1,48W000000CARR-1I,CCGT,Carrington Power Ltd,T,True,Carrington Power Ltd - Unit 1,CARRINGT,-10.000,470.000,P,0.0013166,-4.000,-4.000,188.000,188.000,True,False,,,,False,False,True,True
CARR-2,T_CARR-2,48W000000CARR-2G,CCGT,Carrington Power Ltd,T,True,Carrington Power Ltd - Unit 2,CARRINGT,-11.400,470.000,P,0.0013166,-4.560,-4.560,188.000,188.000,True,False,,,,False,False,True,True
CHICK-1,E_CHICK-1,,,SSEPG (Operations) Ltd,E,True,Chickerell Power Station,SSEPGO,-1.000,48.000,P,0.0199799,-0.400,-0.400,19.200,19.200,True,False,_H,Southern,,False,False,True,True
CORB-1,E_CORB-1,48W000000CORB-1Z,CCGT,CORBY POWER LIMITED,E,True,CORBY POWER LIMITED,CORBY,-0.100,240.000,P,0.0073472,-0.040,-0.040,96.000,96.000,True,False,_B,East Midlands,,False,False,False,False
COSO-1,T_COSO-1,48W000000COSO-1F,CCGT,Coryton Energy Company Ltd,T,True,Coryton Power Station,CECL,-152.986,800.000,P,0.0042196,-61.194,-61.194,320.000,320.000,True,False,,,,False,False,False,False
COUWW-1,T_COUWW-1,48W00000COUWW-16,WIND,Cour Wind farm (Scotland) Ltd,T,True,Cour Wind Farm,CWF2016,-1.000,20.500,P,-0.0301340,-0.400,-0.400,8.200,8.200,True,False,,,,False,False,False,False
CREAW-1,T_CREAW-1,,WIND,Creag Riabhach Wind Farm Ltd,T,True,Creag Riabhach Wind Farm,CREAGWF1,-20.137,93.000,P,-0.0301340,-8.055,-8.055,37.200,37.200,True,False,,,,False,False,False,False
CRGHD-1,T_CRGHD-1,,,Statkraft Markets Gmbh,T,False,Carraig Gheal Wind Farm,STATKRA1,-0.200,0.000,P,-0.0301340,-0.123,-0.123,0.000,0.000,False,True,,,,False,False,True,True
CRGHW-1,T_CRGHW-1,48W00000CRGHW-1X,WIND,Statkraft Markets Gmbh,T,True,Carraig Gheal Wind Farm,STATKRA1,-0.200,46.000,P,-0.0301340,-0.080,-0.080,18.400,18.400,True,False,,,,False,False,True,True
CRGTW-1,E_CRGTW-1,,WIND,British Gas Trading Ltd,E,True,Craig 2 Wind Farm,BRITGAS,-0.200,4.700,P,-0.0088069,-0.080,-0.080,1.880,1.880,True,False,_N,South Scotland,,False,False,False,False
CRYRW-4,T_CRYRW-4,,,Crystal Rig IV Limited,T,True,Crystal Rig IV Wind Farm,CRIVL,-0.500,48.200,P,-0.0088069,-0.200,-0.200,19.280,19.280,True,False,,,,False,False,False,False
DALQW-1,T_DALQW-1,,WIND,Statkraft Markets Gmbh,T,True,Dalquhandy  Wind Farm,STATKRA1,-0.500,42.846,P,-0.0088069,-0.200,-0.200,17.138,17.138,True,False,,,,False,False,True,True
DBFRM-1,E_DBFRM-1,,,Conrad Energy (Trading) Ltd,E,True,Down Barn Farm,CONRAD,-1.000,20.000,C,0.0199799,-0.400,-0.400,8.000,8.000,True,False,_H,Southern,,False,False,True,True
DOREW-1,T_DOREW-1,,WIND,Dorenell Windfarm Limited,T,True,Dorenell Wind Farm One,DORWIND,-3.300,156.920,P,-0.0301340,-1.320,-1.320,62.768,62.768,True,False,,,,False,False,True,True
DOREW-2,T_DOREW-2,,WIND,Dorenell Windfarm Limited,T,True,Dorenell Wind Farm Two,DORWIND,-3.300,156.920,P,-0.0301340,-1.320,-1.320,62.768,62.768,True,False,,,,False,False,True,True
FALGW-1,T_FALGW-1,48W00000FALGW-1T,WIND,Fallago Rig Wind Farm Limited,T,True,Fallago Rig Wind Farm,FALLAGO,-2.500,144.000,P,-0.0088069,-1.000,-1.000,57.600,57.600,True,False,,,,False,False,False,False
FSDLW-1,T_FSDLW-1,48W00000FSDLW-10,WIND,Freasdail Energy Limited,T,True,Freasdail Wind Farm,FEL,-0.400,22.200,P,-0.0301340,-0.160,-0.160,8.880,8.880,True,False,,,,False,False,False,False
GFLDW-1,E_GFLDW-1,48W00000GFLDW-11,,Edgware Energy Limited,E,True,Goole Fields Wind Farm,EDGWARE,-0.220,32.800,C,-0.0051169,-0.088,-0.088,13.120,13.120,True,False,_M,Yorkshire,,False,False,False,False
GLWSW-1,T_GLWSW-1,48W00000GLWSW-13,WIND,GALAWHISTLE WIND FARM,T,True,Galawhistle Wind Farm,GALAWWF,-0.720,55.200,P,-0.0088069,-0.288,-0.288,22.080,22.080,True,False,,,,False,False,False,False
GRIFW-1,T_GRIFW-1,48W10000GRIFW-1N,WIND,Griffin Wind Farm Ltd,T,True,Griffin Wind Farm 1,GRWL,-3.000,102.000,P,-0.0301340,-1.200,-1.200,40.800,40.800,True,False,,,,False,False,True,True
GRIFW-2,T_GRIFW-2,48W00000GRIFW-2Y,WIND,Griffin Wind Farm Ltd,T,True,Griffin Wind Farm 2,GRWL,-3.000,104.000,P,-0.0301340,-1.200,-1.200,41.600,41.600,True,False,,,,False,False,True,True
GYAR-1,E_GYAR-1,48W000000GYAR-15,CCGT,RWE Generation UK plc,E,True,Great Yarmouth Power Limited,INNOGY01,-18.000,420.000,P,0.0042196,-7.200,-7.200,168.000,168.000,True,False,_A,Eastern,,False,False,True,True
HADHW-1,T_HADHW-1,48W00000HADHW-1J,WIND,SSE Renewables Wind Farms,T,True,Hadyard Hill Wind Farm,SSERWFL,-0.660,130.000,P,-0.0088069,-0.264,-0.264,52.000,52.000,True,False,,,,False,False,False,False
HMGTO-1,T_HMGTO-1,48W00000HMGTO-10,WIND,RWE Renewables UK Humber Wind,T,True,Humber Offshore Wind Farm BMU1,HMBRWNDL,-6.000,108.000,P,-0.0051169,-2.400,-2.400,43.200,43.200,True,False,,,,False,False,True,True
HMGTO-2,T_HMGTO-2,48W00000HMGTO-2Z,WIND,RWE Renewables UK Humber Wind,T,True,Humber Offshore Wind Farm BMU2,HMBRWNDL,-6.200,111.000,P,-0.0051169,-2.480,-2.480,44.400,44.400,True,False,,,,False,False,True,True
I2D-GRMC1,I_I2D-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0160206,0.000,0.000,0.000,0.000,False,False,,,IFA2,False,False,True,True
I2G-RISQ1,I_I2G-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0199799,0.000,0.000,0.000,0.000,False,False,,,IFA2,False,False,True,True
IBD-GRMC1,I_IBD-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0084878,0.000,0.000,0.000,0.000,False,False,,,BRITNED,False,False,True,True
IBG-PETC1,I_IBG-PETC1,,,PETROCHINA INTL LONDON CO. LTD,I,True,PCIL to the UK,PETCHINA,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,BRITNED,False,False,False,False
IBG-RISQ1,I_IBG-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,BRITNED,False,False,True,True
IFD-GRMC,I_IFD-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0084878,0.000,0.000,0.000,0.000,False,False,,,FRANCE,False,False,True,True
IFG-RISQ1,I_IFG-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,FRANCE,False,False,True,True
IIG-VESL1,I_IIG-VESL1,,,Energia Customer Solutions Ltd,I,True,EWIC Gen BM Unit VESL,VESL,0.000,500.000,P,0.0013166,0.000,0.000,0.000,0.000,False,False,,,EWIC,False,False,False,False
ILD-GRMC1,I_ILD-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0084878,0.000,0.000,0.000,0.000,False,False,,,ELECLINK,False,False,True,True
ILG-RISQ1,I_ILG-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,ELECLINK,False,False,True,True
IND-GRMC1,I_IND-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0084878,0.000,0.000,0.000,0.000,False,False,,,NEMOLINK,False,False,True,True
ING-RISQ1,I_ING-RISQ1,,,Risq Energy Limited,I,True,RISQ to the UK,RISQ,0.000,1000.000,P,0.0120522,0.000,0.000,0.000,0.000,False,False,,,NEMOLINK,False,False,True,True
IVD-GRMC1,I_IVD-GRMC1,,,A/S Global Risk Management Ltd,I,True,Flows out of  the UK,GRMC,-1000.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,False,False,,,VIKINGLINK,False,False,True,True
KEAD-2,T_KEAD-2,48W000000KEAD-23,CCGT,Keadby Generation Limited,T,True,Keadby-2 Main,KGL,-20.000,890.000,P,-0.0051169,-8.000,-8.000,356.000,356.000,True,False,,,,False,False,False,False
KENNW-1,T_KENNW-1,,WIND,Kennoxhead Wind Farm Limited,T,True,Kennoxhead Wind Farm,KENX01,-0.100,60.000,P,-0.0088069,-0.040,-0.040,24.000,24.000,True,False,,,,False,False,False,False
KPMRW-1,T_KPMRW-1,,WIND,OnPath Energy Limited,T,True,KYPE MUIR WIND FARM,BANKSREN,-2.000,89.000,P,-0.0088069,-0.800,-0.800,35.600,35.600,True,False,,,,False,False,True,True
